text-typo-secondary,text-typo-gray href,text-typo-gray,text-primary href,text-primary,text-black,paperContributors_author_list__show_more__9jsqT,text-typo-secondary (2),text-primary href (2),text-primary (2),notranslate,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),text-black href,text-black (2),text-primary href (3),flex,font-medium,text-sm
Open access,,,https://typeset.io/papers/histopathological-evaluation-of-the-effects-of-2z363ryuvz,"42. Histopathological evaluation of the effects of intrapretoneal isotretinoin on skin, kidney and liver of the nmri mouse fetus",,+2 more,01 Jan 2013,,,"The duration of treatment, dosage, individual health conditions, and potential pregnancy significantly influence the severity of side effects experienced from isotretinoin.",,,,,,,https://typeset.io/authors/a-kalantari-1g1wfoyxuj,A Kalantari,,,,
Journal Article,https://www.doi.org/10.1080/15569527.2023.2268166,DOI,https://typeset.io/papers/effect-of-isotretinoin-treatment-on-inflammatory-and-3c7vun19es,43. Effect of isotretinoin treatment on inflammatory and hematological parameters in patients with acne vulgaris.,Mustafa Esen,,14 Oct 2023,https://typeset.io/journals/cutaneous-and-ocular-toxicology-pkxox1lx,Cutaneous and Ocular Toxicology,The paper does not address specific factors determining the severity of side effects from isotretinoin treatment for acne.,,,,,,,,,,,,
Open access,https://www.doi.org/10.12775/JEHS.2020.10.08.045,DOI,https://typeset.io/papers/impact-of-oral-isotretinoin-therapy-on-musculoskeletal-3d52svfn8f,44. Impact of oral isotretinoin therapy on musculoskeletal system and physical activity in patients with acne,,+6 more,26 Aug 2020,https://typeset.io/journals/journal-of-education-health-and-sport-6w3lw5h1,"Journal of Education, Health and Sport","Higher doses of isotretinoin and individual patient factors, such as pre-existing conditions and physical activity levels, influence the severity of musculoskeletal side effects during treatment.",,,,,,,https://typeset.io/authors/malgorzata-drozd-1ne3qvvjpu,Małgorzata Drozd,https://typeset.io/pdf/impact-of-oral-isotretinoin-therapy-on-musculoskeletal-3d52svfn8f.pdf,PDF,2,Summary
Journal Article,https://www.doi.org/10.3109/09546639809160697,DOI,https://typeset.io/papers/oral-isotretinoin-is-not-associated-with-increased-side-5gof9g29yj,45. Oral isotretinoin is not associated with increased side-effects when prescribed to patients with less severe acne,,+1 more,01 Jan 1998,https://typeset.io/journals/journal-of-dermatological-treatment-2bsuip15,Journal of Dermatological Treatment,"The dose of isotretinoin and individual patient factors, such as previous therapy response and concurrent treatments to minimize side effects, influence the severity of side effects experienced.",,,,,,,https://typeset.io/authors/d-c-seukeran-5b6em5kz5g,D. C. Seukeran,,,,
Journal Article,https://www.doi.org/10.1111/ijd.17225,DOI,https://typeset.io/papers/risk-and-timing-of-isotretinoin-related-laboratory-5ghu30ifl8,46. Risk and timing of isotretinoin-related laboratory disturbances: a population-based study.,,+4 more,03 May 2024,https://typeset.io/journals/international-journal-of-dermatology-1rr3bwhl,International Journal of Dermatology,The study does not identify specific factors influencing side effects from isotretinoin; it primarily evaluates the risk of laboratory abnormalities compared to oral antibiotics.,,,,,,,https://typeset.io/authors/shirin-emtenani-1ia6xfq699,Shirin Emtenani,,,,
Open access,,,https://typeset.io/papers/isotretinoin-induced-skin-fragility-in-a-teenaged-athlete-a-4z5cdcmgce,47. Isotretinoin-induced skin fragility in a teenaged athlete: a case report,,+1 more,01 Jul 2013,https://typeset.io/journals/cutis-27akxe5p,Cutis,"The paper does not specify factors determining the severity of isotretinoin side effects, focusing instead on skin fragility in a specific case of a teenaged athlete.",,,,,,,https://typeset.io/authors/michelle-pavlis-1juo7z746o,Michelle Pavlis,,,4,
Open access,,,https://typeset.io/papers/isotretinoin-administration-in-treatment-of-acne-vulgaris-a-4mbex9s2q4,48. Isotretinoin administration in treatment of acne vulgaris. A prospective study of the kind and extent of ocular complications,,+3 more,01 Feb 1995,https://typeset.io/journals/ophthalmologe-c7p1czb2,Ophthalmologe,The study does not specify factors determining the severity of side effects from isotretinoin; it primarily reports on observed ocular complications and their reversibility post-therapy.,,,,,,,https://typeset.io/authors/s-f-egger-tdtvzlr83v,S. F. Egger,,,14,
Open access,,,https://typeset.io/papers/calidad-de-vida-y-sintomas-psicologicos-en-pacientes-con-m32aatif6t,49. Calidad de vida y síntomas psicológicos en pacientes con acné severo tratados con isotretinoína,,+3 more,01 Jan 2006,,,"The paper does not identify specific factors determining the severity of side effects from isotretinoin, focusing instead on its psychological impact and quality of life outcomes.",,,,,,,https://typeset.io/authors/andres-tirado-sanchez-4iabgausio,Andrés Tirado Sánchez,,,3,
Open access,https://www.doi.org/10.1016/J.JADR.2021.100230,DOI,https://typeset.io/papers/isotretinoin-and-neuropsychiatric-side-effects-continued-344llgh79i,50. Isotretinoin and neuropsychiatric side effects: Continued vigilance is needed,,,01 Dec 2021,,,The paper does not specify factors determining the severity of side effects from isotretinoin; it primarily discusses reported neuropsychiatric side effects and the need for clinician vigilance.,,,,,,,https://typeset.io/authors/j-douglas-bremner-4674lnkjg1,J. Douglas Bremner,,,,
Journal Article,https://www.doi.org/10.1111/DTH.12213,DOI,https://typeset.io/papers/analysis-of-clinical-efficacy-side-effects-and-laboratory-4l4712e8lw,"51. Analysis of clinical efficacy, side effects, and laboratory changes among patients with acne vulgaris receiving single versus twice daily dose of oral isotretinoin",,,01 May 2015,https://typeset.io/journals/dermatologic-therapy-i3syciyo,Dermatologic Therapy,"Factors influencing worse side effects from isotretinoin include dosage frequency, individual patient tolerance, pre-existing conditions, and the severity of acne being treated.",,,,,,,https://typeset.io/authors/hesham-m-ahmad-2ib1acryev,Hesham M. Ahmad,,,,
Journal Article,https://www.doi.org/10.1111/J.1365-2133.1993.TB11850.X,DOI,https://typeset.io/papers/isotretinoin-for-the-treatment-of-acne-vulgaris-which-1k9133eqty,52. Isotretinoin for the treatment of acne vulgaris: which factors may predict the need for more than one course?,,+3 more,01 Sep 1993,https://typeset.io/journals/british-journal-of-dermatology-1a1gch1p,British Journal of Dermatology,"The study indicates that side effects are consistent across treatment courses and do not worsen with successive courses, suggesting no specific factors predict worse side effects from isotretinoin.",,,,,,,https://typeset.io/authors/j-m-stainforth-4r68zczkan,J. M. Stainforth,,,,
Open access,https://www.doi.org/10.3390/endocrines4020023,DOI,https://typeset.io/papers/potential-effects-of-oral-isotretinoin-on-growth-plate-and-24lee5l6,53. Potential Effects of Oral Isotretinoin on Growth Plate and Height,,+2 more,07 Apr 2023,https://typeset.io/journals/endocrines-f14apnzx,Endocrines,The paper does not specify factors determining the severity of isotretinoin side effects; it primarily discusses its impact on growth and potential epiphyseal closure.,,,,,,,https://typeset.io/authors/adriane-cardoso-demartini-20dvfofs3a,Adriane Cardoso-Demartini,https://www.mdpi.com/2673-396X/4/2/23/pdf?version=1680832050,PDF,,
Journal Article,https://www.doi.org/10.4103/1119-3077.183248,DOI,https://typeset.io/papers/the-oral-adverse-effects-of-isotretinoin-treatment-in-acne-sc0amzi6hk,"54. The oral adverse effects of isotretinoin treatment in acne vulgaris patients: A prospective, case-control study.",,+5 more,01 Jan 2016,https://typeset.io/journals/nigerian-journal-of-clinical-practice-t2ql7c2n,Nigerian Journal of Clinical Practice,"Factors include individual age, baseline salivary flow, buffer capacity, and potential pre-existing conditions affecting salivation or oral health, as well as adherence to dental care during treatment.",,,,,,,https://typeset.io/authors/ugur-erdemir-159h7docgs,Ugur Erdemir,https://typeset.io/pdf/the-oral-adverse-effects-of-isotretinoin-treatment-in-acne-sc0amzi6hk.pdf,PDF,7,Summary
Journal Article,https://www.doi.org/10.54905/disssi/v27i137/e299ms3094,DOI,https://typeset.io/papers/evaluation-and-orientation-of-isotretinoin-side-effects-2cgpzedt4u,55. Evaluation and orientation of isotretinoin side effects among a sample of Saudi population,Fawwaz Freih Alshammrie,+3 more,06 Jul 2023,https://typeset.io/journals/medical-science-jplfwr3q,Medical science,"Factors include dosage, individual health conditions, concurrent medications, and awareness of isotretinoin's side effects, particularly teratogenic risks, which influence patient management and adherence to precautions.",,,,,,,,,https://typeset.io/pdf/evaluation-and-orientation-of-isotretinoin-side-effects-2cgpzedt4u.pdf,PDF,,Summary
Journal Article,https://www.doi.org/10.1111/J.1346-8138.1991.TB03100.X,DOI,https://typeset.io/papers/acne-fulminans-and-bilateral-seronegative-sacroiliitis-2wk5uo1rxf,56. Acne Fulminans and Bilateral Seronegative Sacroiliitis Triggered by Isotretinoin,,+4 more,01 Jun 1991,https://typeset.io/journals/journal-of-dermatology-2atdpms8,Journal of Dermatology,"The paper does not specify factors determining worse side effects from isotretinoin; however, individual responses may vary based on genetic predisposition, dosage, and pre-existing conditions.",,,,,,,https://typeset.io/authors/luis-m-elias-15mpwuhohm,Luis M. Elias,,,27,
Journal Article,https://www.doi.org/10.1517/EODS.3.2.119.27340,DOI,https://typeset.io/papers/safety-and-side-effects-of-the-acne-drug-oral-isotretinoin-2rokv2akuf,"57. Safety and side effects of the acne drug, oral isotretinoin.",,+2 more,01 Mar 2004,https://typeset.io/journals/expert-opinion-on-drug-safety-1jbcnqvd,Expert Opinion on Drug Safety,"Factors influencing worse side effects from isotretinoin include individual health status, dosage, duration of treatment, and pre-existing conditions, particularly regarding mucocutaneous, ophthalmological, and psychological health.",,,,,,,https://typeset.io/authors/a-charakida-39zj6shcdp,A Charakida,,,,
Open access,,,https://typeset.io/papers/facial-edema-induced-by-isotretinoin-use-a-case-and-a-review-1v28c10rn4,58. Facial edema induced by isotretinoin use: a case and a review of the side effects of isotretinoin.,,+1 more,01 May 2006,https://typeset.io/journals/journal-of-drugs-in-dermatology-40mxc4fp,Journal of Drugs in Dermatology,"Factors include dosage, individual sensitivity, concurrent medications, pre-existing conditions, and adherence to skincare recommendations, such as using moisturizers and eye drops to mitigate side effects.",,,,,,,https://typeset.io/authors/noah-scheinfeld-xsg7c2vehl,Noah Scheinfeld,,,22,
Open access,,,https://typeset.io/papers/the-evaluation-of-isotretinoin-induced-adverse-drug-2s421t991m,59. The evaluation of isotretinoin induced adverse drug reactions,,+3 more,01 Sep 2012,https://typeset.io/journals/research-in-pharmaceutical-sciences-3rdnxh9o,Research in Pharmaceutical Sciences,"The study found no significant relationship between isotretinoin adverse drug reactions and factors such as sex, age, weight, dose, or treatment period, indicating these do not determine side effect severity.",,,,,,,https://typeset.io/authors/t-entezari-maleki-3wi3sog5b9,T. Entezari Maleki,https://www.academicjournals.org/article/article1380814477_Entezari-Maleki%20et%20al.pdf,PDF,3,
Journal Article,https://www.doi.org/10.5897/AJPP11.348,DOI,https://typeset.io/papers/the-evaluation-of-isotretinoin-induced-adverse-drug-32u7mdzl05,60. The evaluation of isotretinoin induced adverse drug reactions,,+5 more,29 Oct 2011,https://typeset.io/journals/african-journal-of-pharmacy-and-pharmacology-8eupikj4,African Journal of Pharmacy and Pharmacology,"The study found no significant relationship between isotretinoin adverse drug reactions and factors such as sex, age, weight, dose, or treatment period, suggesting these do not determine side effect severity.",,,,,,,https://typeset.io/authors/taher-entezari-maleki-1c8xex1j1j,Taher Entezari-Maleki,https://typeset.io/pdf/the-evaluation-of-isotretinoin-induced-adverse-drug-32u7mdzl05.pdf,PDF,3,Summary
